timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1698954750677,1854,https://portaltest.mtn.ci/assets/icons/logo-gray.svg,200,OK,Thread Group 1-6,text,true,,8831,436,6,6,https://portaltest.mtn.ci/assets/icons/logo-gray.svg,1854,0,0
1698954750685,1846,https://portaltest.mtn.ci/assets/tabs/person.svg,200,OK,Thread Group 1-1,text,true,,793,432,6,6,https://portaltest.mtn.ci/assets/tabs/person.svg,1846,0,0
1698954750677,1854,https://portaltest.mtn.ci/assets/tabs/home.svg,200,OK,Thread Group 1-2,text,true,,1036,430,6,6,https://portaltest.mtn.ci/assets/tabs/home.svg,1854,0,0
1698954750685,1846,https://portaltest.mtn.ci/assets/icons/logo-gray.svg,200,OK,Thread Group 1-5,text,true,,8831,436,6,6,https://portaltest.mtn.ci/assets/icons/logo-gray.svg,1846,0,0
1698954751398,1134,https://portaltest.mtn.ci/assets/icons/clog.svg,200,OK,Thread Group 1-4,text,true,,3420,431,6,6,https://portaltest.mtn.ci/assets/icons/clog.svg,1134,0,0
1698954751500,1032,https://portaltest.mtn.ci/assets/icons/sort-down.svg,200,OK,Thread Group 1-3,text,true,,868,436,6,6,https://portaltest.mtn.ci/assets/icons/sort-down.svg,1032,0,0
1698954752532,676,https://portaltest.mtn.ci/assets/tabs/person.svg,200,OK,Thread Group 1-2,text,true,,793,432,6,6,https://portaltest.mtn.ci/assets/tabs/person.svg,676,0,0
1698954752532,676,https://portaltest.mtn.ci/assets/tabs/eye.svg,200,OK,Thread Group 1-1,text,true,,812,429,6,6,https://portaltest.mtn.ci/assets/tabs/eye.svg,676,0,0
1698954752532,676,https://portaltest.mtn.ci/assets/icons/clog.svg,200,OK,Thread Group 1-6,text,true,,3420,431,6,6,https://portaltest.mtn.ci/assets/icons/clog.svg,676,0,0
1698954752532,676,https://portaltest.mtn.ci/assets/icons/clog.svg,200,OK,Thread Group 1-5,text,true,,3420,431,6,6,https://portaltest.mtn.ci/assets/icons/clog.svg,676,0,0
1698954752533,675,https://portaltest.mtn.ci/assets/tabs/home.svg,200,OK,Thread Group 1-3,text,true,,1036,430,6,6,https://portaltest.mtn.ci/assets/tabs/home.svg,675,0,0
1698954752533,675,https://portaltest.mtn.ci/assets/icons/sort-down.svg,200,OK,Thread Group 1-4,text,true,,868,436,6,6,https://portaltest.mtn.ci/assets/icons/sort-down.svg,675,0,0
1698954753209,273,https://portaltest.mtn.ci/svg/caret-down.svg,200,OK,Thread Group 1-1,text,true,,465,428,6,6,https://portaltest.mtn.ci/svg/caret-down.svg,273,0,0
1698954753209,273,https://portaltest.mtn.ci/assets/tabs/person.svg,200,OK,Thread Group 1-3,text,true,,793,432,6,6,https://portaltest.mtn.ci/assets/tabs/person.svg,273,0,0
1698954753209,276,https://portaltest.mtn.ci/assets/icons/sort-down.svg,200,OK,Thread Group 1-6,text,true,,868,436,6,6,https://portaltest.mtn.ci/assets/icons/sort-down.svg,276,0,0
1698954753209,295,https://portaltest.mtn.ci/assets/tabs/eye.svg,200,OK,Thread Group 1-2,text,true,,812,429,6,6,https://portaltest.mtn.ci/assets/tabs/eye.svg,295,0,0
1698954753209,311,https://portaltest.mtn.ci/assets/tabs/home.svg,200,OK,Thread Group 1-4,text,true,,1036,430,6,6,https://portaltest.mtn.ci/assets/tabs/home.svg,311,0,0
1698954753209,340,https://portaltest.mtn.ci/assets/icons/sort-down.svg,200,OK,Thread Group 1-5,text,true,,868,436,6,6,https://portaltest.mtn.ci/assets/icons/sort-down.svg,340,0,0
1698954753483,307,https://portaltest.mtn.ci/assets/tabs/capture.svg,200,OK,Thread Group 1-1,text,true,,1106,433,6,6,https://portaltest.mtn.ci/assets/tabs/capture.svg,307,0,0
1698954753483,307,https://portaltest.mtn.ci/assets/tabs/eye.svg,200,OK,Thread Group 1-3,text,true,,812,429,6,6,https://portaltest.mtn.ci/assets/tabs/eye.svg,307,0,0
1698954753504,286,https://portaltest.mtn.ci/svg/caret-down.svg,200,OK,Thread Group 1-2,text,true,,465,428,6,6,https://portaltest.mtn.ci/svg/caret-down.svg,286,0,0
1698954753486,304,https://portaltest.mtn.ci/assets/tabs/home.svg,200,OK,Thread Group 1-6,text,true,,1036,430,6,6,https://portaltest.mtn.ci/assets/tabs/home.svg,304,0,0
1698954753520,270,https://portaltest.mtn.ci/assets/tabs/person.svg,200,OK,Thread Group 1-4,text,true,,793,432,6,6,https://portaltest.mtn.ci/assets/tabs/person.svg,270,0,0
1698954753550,240,https://portaltest.mtn.ci/assets/tabs/home.svg,200,OK,Thread Group 1-5,text,true,,1036,430,6,6,https://portaltest.mtn.ci/assets/tabs/home.svg,240,0,0
1698954753792,353,https://portaltest.mtn.ci/svg/caret-down.svg,200,OK,Thread Group 1-3,text,true,,465,428,6,6,https://portaltest.mtn.ci/svg/caret-down.svg,353,0,0
1698954753791,354,https://portaltest.mtn.ci/assets/tabs/form-builder.svg,200,OK,Thread Group 1-1,text,true,,1548,438,6,6,https://portaltest.mtn.ci/assets/tabs/form-builder.svg,354,0,0
1698954753792,353,https://portaltest.mtn.ci/assets/tabs/eye.svg,200,OK,Thread Group 1-4,text,true,,812,429,6,6,https://portaltest.mtn.ci/assets/tabs/eye.svg,353,0,0
1698954753792,371,https://portaltest.mtn.ci/assets/tabs/capture.svg,200,OK,Thread Group 1-2,text,true,,1106,433,6,6,https://portaltest.mtn.ci/assets/tabs/capture.svg,371,0,0
1698954753792,371,https://portaltest.mtn.ci/assets/tabs/person.svg,200,OK,Thread Group 1-5,text,true,,793,432,6,6,https://portaltest.mtn.ci/assets/tabs/person.svg,371,0,0
1698954753792,398,https://portaltest.mtn.ci/assets/tabs/person.svg,200,OK,Thread Group 1-6,text,true,,793,432,6,6,https://portaltest.mtn.ci/assets/tabs/person.svg,398,0,0
1698954754146,257,https://portaltest.mtn.ci/assets/tabs/device.svg,200,OK,Thread Group 1-1,text,true,,727,432,6,6,https://portaltest.mtn.ci/assets/tabs/device.svg,257,0,0
1698954754146,257,https://portaltest.mtn.ci/assets/tabs/capture.svg,200,OK,Thread Group 1-3,text,true,,1106,433,6,6,https://portaltest.mtn.ci/assets/tabs/capture.svg,257,0,0
1698954754146,262,https://portaltest.mtn.ci/svg/caret-down.svg,200,OK,Thread Group 1-4,text,true,,465,428,6,6,https://portaltest.mtn.ci/svg/caret-down.svg,262,0,0
